Experimento 3
Cantidad de Documentos = 40
Support mínimo = 0.3
Umbral de Disimilaridad = 90%

================================
 Reglas de Asociación Obtenidas
================================
            ant        cons     disim mayor_que_umbral
129   pacientes   población 0.7142201            FALSE
130   población   pacientes 0.7142201            FALSE
228     células   pacientes 0.7104928            FALSE
227   pacientes     células 0.7104928            FALSE
364     estudio  mortalidad 0.7043964            FALSE
363  mortalidad     estudio 0.7043964            FALSE
408       casos tratamiento 0.7007654            FALSE
407 tratamiento       casos 0.7007654            FALSE
603     células     estudio 0.6928699            FALSE
604     estudio     células 0.6928699            FALSE
441      cáncer tratamiento 0.6889720            FALSE
442 tratamiento      cáncer 0.6889720            FALSE
641      cáncer       meses 0.6807727            FALSE
642       meses      cáncer 0.6807727            FALSE
309      cáncer    paciente 0.6708735            FALSE
310    paciente      cáncer 0.6708735            FALSE
242       casos    paciente 0.6637668            FALSE
241    paciente       casos 0.6637668            FALSE
187       casos      riesgo 0.6571480            FALSE
188      riesgo       casos 0.6571480            FALSE
413 diagnóstico    estudios 0.6449398            FALSE
414    estudios diagnóstico 0.6449398            FALSE
71    pacientes     tumores 0.6391628            FALSE
72      tumores   pacientes 0.6391628            FALSE
61  diagnóstico tratamiento 0.6377966            FALSE
62  tratamiento diagnóstico 0.6377966            FALSE
198       grupo      riesgo 0.6325997            FALSE
197      riesgo       grupo 0.6325997            FALSE
12     análisis  enfermedad 0.6250050            FALSE
11   enfermedad    análisis 0.6250050            FALSE
645  enfermedad      riesgo 0.6229420            FALSE
646      riesgo  enfermedad 0.6229420            FALSE
537       mayor    paciente 0.6187544            FALSE
538    paciente       mayor 0.6187544            FALSE
531        años     tumores 0.6179919            FALSE
532     tumores        años 0.6179919            FALSE
352       casos     durante 0.6130191            FALSE
351     durante       casos 0.6130191            FALSE
171   pacientes      riesgo 0.6074191            FALSE
172      riesgo   pacientes 0.6074191            FALSE
42         alto        años 0.6048867            FALSE
41         años        alto 0.6048867            FALSE
611    estudios     tumores 0.6020834            FALSE
612     tumores    estudios 0.6020834            FALSE
495      cáncer     realizó 0.5977172            FALSE
496     realizó      cáncer 0.5977172            FALSE
146        edad    estudios 0.5938379            FALSE
145    estudios        edad 0.5938379            FALSE
55         años      riesgo 0.5928428            FALSE
56       riesgo        años 0.5928428            FALSE
425        años       tumor 0.5874862            FALSE
426       tumor        años 0.5874862            FALSE
286        caso   pacientes 0.5850323            FALSE
285   pacientes        caso 0.5850323            FALSE
153   pacientes    relación 0.5846025            FALSE
154    relación   pacientes 0.5846025            FALSE
654       grado       mayor 0.5829943            FALSE
653       mayor       grado 0.5829943            FALSE
389       mayor tratamiento 0.5824931            FALSE
390 tratamiento       mayor 0.5824931            FALSE
179        años    mediante 0.5821307            FALSE
180    mediante        años 0.5821307            FALSE
346       nivel   pacientes 0.5809045            FALSE
345   pacientes       nivel 0.5809045            FALSE
440     estudio     tumores 0.5770500            FALSE
439     tumores     estudio 0.5770500            FALSE
587        años     muestra 0.5764393            FALSE
588     muestra        años 0.5764393            FALSE
422     estudio       meses 0.5758633            FALSE
421       meses     estudio 0.5758633            FALSE
